,A,B-1,B-2,C-1,C-2,D,E,F,G,H-1,H-2
GTEX-13FHO-1026-SM-5KM1Q,-0.0341493396546704,-0.776756064372406,0.0885871966649997,0.224230288417794,-1.3839321515715,-0.518600080937848,-0.943213638193672,0.502308896081071,-0.526990567770875,-3.03016848543187,2.84787710058835
GTEX-13FHP-0726-SM-5K7YI,-0.839554802024734,-1.05388238329659,-0.224905513609002,0.798899116956084,-2.29361258409075,-0.740876142616751,-1.16941769075338,0.860648840997555,-0.625748414200178,-3.37444565291346,2.77233031748957
GTEX-13FLV-0426-SM-5KLZA,0.552493311234176,-0.241736199378312,0.747568753976404,0.267568485781616,-1.99324003845059,-0.574354518268096,0.193613301271818,0.758256057236888,0.752778868739671,-2.39845323988795,3.05387619083451
GTEX-13FTX-0326-SM-5J2NG,0.863373251531704,0.515518540461621,-0.0702372501172617,-0.0136430275659471,1.44580004009093,-0.562441910572939,0.685536140009477,-0.0350960690533941,-0.159615326893597,6.08351580255498,-6.79603696770673
GTEX-13FTY-0126-SM-5J2NZ,1.12676185568623,-0.314227692286063,0.566348361484467,0.704738785081041,-1.20599326500936,-0.473579086401957,0.408260166928096,-0.0466357136889443,0.831932415866045,6.86723587788546,-6.14106024349092
GTEX-13FTZ-0526-SM-5IJCW,-0.5201550271397,-0.802804707104989,0.679164093062327,0.658251212531919,0.8023192231063,-0.586361277208986,1.07552807772366,1.38117124596292,-0.0893488130055048,-2.52802910547771,3.11334981743843
GTEX-13G51-0426-SM-5K7Z5,-0.853922939983216,-0.398491615553946,0.761587055986033,1.5573725210623,-1.13944906859738,-0.65964342337015,0.489420347007465,1.35666104380558,-0.596787345675349,-1.85416613405905,2.94458684457702
GTEX-13JUV-0526-SM-5K7XE,-0.388484456056202,-0.299131743221654,0.315878969809222,0.142803296731286,-1.61875560982164,0.985914848093657,-0.177983237398634,0.862914653399209,-0.535481002240125,6.40151188906878,-5.79629432314652
GTEX-13JVG-1426-SM-5MR4W,0.0984955041658736,-0.634871244610238,0.933694683167251,-0.992893328393254,0.0264055829370786,-0.744280794972647,0.677815994141567,-0.325360360977743,-0.159469559605382,-5.59876207023721,2.62019198594938
GTEX-13N11-0326-SM-5LUA3,-0.727355525820919,0.343992967712688,-0.319698372335438,-0.565774061930816,-0.0932045286333034,0.797182284540929,1.12161806020405,0.0392290709511542,0.492430381357026,6.22220346072743,-5.26084078510655
GTEX-13N1W-0726-SM-5MR57,-0.579336854092267,0.396983433731675,0.303444984200741,0.708917848638285,-1.86699006416204,-0.792806659778013,0.898497026405538,-0.160204622018551,-0.552914545415343,-4.18061912963463,2.99980308034037
GTEX-13N2G-0826-SM-5IJE6,1.22734534188361,0.588827972990235,-0.493815049099108,0.134794446944973,-1.12426118566254,0.746003045813671,1.09190105782281,-1.27229863740772,0.924314169837202,-2.08392740624132,3.1124868063479
GTEX-13NYB-0626-SM-5MR47,-0.694693467883523,-0.460051665983952,0.21258656941942,1.31645196119157,-2.04483943746542,-0.999473693917555,0.938382789846968,-0.472865450798937,-0.409873089995796,-3.86658604560545,2.96076902346809
GTEX-13NYS-1626-SM-5J2MU,0.760884861326415,-0.234400865599952,-0.168527828456795,-0.874116513184205,-0.581330816817433,-0.0877096310585748,-0.0698553024128302,0.106261945258816,0.703100982518931,-2.19454724671147,3.13451086089185
GTEX-13NZ8-0326-SM-5L3DF,0.74566359058488,-0.68823268204998,-0.585908653411156,0.293085497580209,-3.485093371986,-0.795524814034137,-1.45482234698414,1.31729941446269,-1.17077780761666,5.47867543973262,-5.84971632584781
GTEX-13NZ9-0926-SM-5KM12,-0.547688605950225,-0.934189259739695,-0.310245357646573,0.00326791103801468,-1.07597840213548,-0.565845360813035,-0.241911433725407,1.96475054273133,-0.779257009689566,-2.91599539528914,2.72379348562842
GTEX-13NZA-1426-SM-5KM4Y,0.262485122151727,-0.500568315704475,0.385705840756532,0.0946262209831812,1.45551882993999,0.347890590735521,-1.78461836906684,-0.274163960184125,-0.168143240763461,-3.04821392399173,2.32083765773252
GTEX-13O21-3026-SM-5J2NI,-0.960556915267487,0.587827190429385,-0.876459554269987,0.160127354315357,-0.630127498597894,-0.6613097756381,-0.80273559170163,-0.0996540187180274,-0.205366596116746,-3.69260077750258,2.9837604730675
GTEX-13O3O-0726-SM-5J1N7,1.47058325209833,-0.210659294583388,0.910978517917258,1.16553416773858,-0.407679927448826,-0.626911243593489,0.457415749722696,1.14726763334142,-0.574848828568228,6.96217727330457,-5.5552272998162
GTEX-13O3P-1026-SM-5N9E7,0.677129684980957,-0.633591283696093,0.275805632230781,0.0224941722571482,-0.541573512826568,0.335719099575559,-0.177254276764783,-1.03263968212553,-0.257576627058546,-2.69700113278537,2.78639786653336
GTEX-13O3Q-0526-SM-5KM18,0.0441705757357623,-0.896069645523406,0.431002302308245,0.871518273644461,-1.37960485114019,-0.544952125672865,0.0901439385208135,0.668111703119444,-0.318444832546999,-1.90822828717977,3.21366563502257
GTEX-13O61-0726-SM-5J2MD,0.819735404729117,0.671888522222976,-0.663464183735323,0.286576990383164,-0.784571724302729,-0.424206941135935,-0.495702410043616,0.129109817109641,-0.582630200854113,-2.13987605690038,2.69048800148913
